batch,accuracy
1,0.2632850241545894
2,0.31521739130434784
3,0.3599033816425121
4,0.23671497584541065
5,0.5060386473429952
6,0.5893719806763285
7,0.2644927536231884
8,0.4939613526570048
9,0.33695652173913043
10,0.21014492753623187
11,0.5289855072463768
12,0.2536231884057971
13,0.35869565217391297
14,0.5193236714975845
15,0.3442028985507246
16,0.33454106280193235
17,0.4045893719806764
18,0.5301932367149759
19,0.4142512077294686
20,0.34541062801932365
21,0.3780193236714976
22,0.23671497584541065
23,0.39130434782608703
24,0.3285024154589372
25,0.33695652173913043
26,0.4879227053140097
27,0.4468599033816425
28,0.44323671497584544
29,0.5458937198067633
30,0.2741545893719807
31,0.26811594202898553
32,0.21859903381642512
33,0.4057971014492754
34,0.3659420289855073
35,0.4613526570048309
36,0.3043478260869565
37,0.2475845410628019
38,0.44082125603864736
39,0.3285024154589372
40,0.3756038647342995
41,0.21618357487922704
42,0.2753623188405797
43,0.4565217391304348
44,0.1859903381642512
45,0.21980676328502416
46,0.2222222222222222
47,0.5036231884057971
48,0.2669082125603865
49,0.2741545893719807
50,0.4565217391304348
51,0.2210144927536232
52,0.3248792270531401
53,0.3043478260869565
54,0.23671497584541065
55,0.31280193236714976
56,0.285024154589372
57,0.2777777777777778
58,0.27898550724637683
59,0.39130434782608703
60,0.23429951690821255
61,0.32125603864734303
62,0.32971014492753625
63,0.35748792270531393
64,0.2644927536231884
65,0.3309178743961353
66,0.27898550724637683
67,0.20893719806763286
68,0.15217391304347827
69,0.3333333333333333
70,0.2898550724637681
71,0.322463768115942
72,0.30676328502415456
73,0.2946859903381642
74,0.21618357487922704
75,0.2391304347826087
76,0.1932367149758454
77,0.14130434782608695
78,0.24396135265700486
79,0.2004830917874396
80,0.31521739130434784
81,0.27898550724637683
82,0.2258454106280193
83,0.2995169082125604
84,0.2065217391304348
85,0.3248792270531401
86,0.19806763285024154
87,0.322463768115942
88,0.3743961352657005
89,0.25
90,0.4601449275362319
91,0.4033816425120773
